0.5;22.11
1;22.11
1.5;22.19
2;22.19
2.5;22.27
3;22.27
3.5;22.37
4;22.37
4.5;22.48
5;22.48
5.5;22.6
6;22.73
6.5;22.73
7;22.87
7.5;22.87
8;23.03
8.5;23.03
9;23.2
9.5;23.2
10;23.38
10.5;23.57
11;23.57
11.5;23.77
12;23.77
12.5;23.98
13;23.98
13.5;24.2
14;24.2
14.5;24.43
15;24.68
15.5;24.68
16;24.93
16.5;24.93
17;25.19
17.5;25.19
18;25.46
18.5;25.46
19;25.74
19.5;25.74
20;26.03
20.5;26.33
21;26.33
21.5;26.64
22;26.64
22.5;26.93
23;26.93
23.5;27.25
24;27.25
24.5;27.57
25;27.89
25.5;27.89
26;28.23
26.5;28.23
27;28.57
27.5;28.57
28;28.91
28.5;28.91
29;29.26
29.5;29.62
30;29.62
30.5;29.97
31;29.97
31.5;30.34
32;30.34
32.5;30.71
33;30.71
33.5;31.07
34;31.44
34.5;31.44
35;31.8
35.5;31.8
36;32.18
36.5;32.18
37;32.57
37.5;32.57
38;32.95
38.5;32.95
39;33.35
39.5;33.74
40;33.74
40.5;34.14
41;34.14
41.5;34.53
42;34.53
42.5;34.93
43;34.93
43.5;35.33
44;35.73
44.5;35.73
45;36.13
45.5;36.13
46;36.54
46.5;36.54
47;36.94
47.5;36.94
48;37.34
48.5;37.74
49;37.74
49.5;38.14
50;38.14
50.5;38.55
51;38.55
51.5;38.95
52;38.95
52.5;39.35
53;39.75
53.5;39.75
54;40.15
54.5;40.15
55;40.55
55.5;40.55
56;40.95
56.5;40.95
57;41.35
57.5;41.35
58;41.75
58.5;42.14
59;42.14
59.5;42.54
60;42.54
60.5;42.93
61;42.93
61.5;43.32
62;43.32
62.5;43.71
63;44.1
63.5;44.1
64;44.49
64.5;44.49
65;44.88
65.5;44.88
66;45.27
66.5;45.27
67;45.65
67.5;46.04
68;46.04
68.5;46.42
69;46.42
69.5;46.8
70;46.8
70.5;47.18
71;47.18
71.5;47.55
72;47.93
72.5;47.93
73;48.3
73.5;48.3
74;48.67
74.5;48.67
75;49.04
75.5;49.04
76;49.41
76.5;49.77
77;49.77
77.5;50.14
78;50.14
78.5;50.5
79;50.5
79.5;50.86
80;50.86
80.5;51.21
81;51.21
81.5;51.57
82;51.92
82.5;51.92
83;52.27
83.5;52.27
84;52.62
84.5;52.62
85;52.96
85.5;52.96
86;53.3
86.5;53.65
87;53.65
87.5;53.98
88;53.98
88.5;54.32
89;54.32
89.5;54.65
90;54.65
90.5;54.98
91;55.31
91.5;55.31
92;55.63
92.5;55.63
93;55.95
93.5;55.95
94;56.27
94.5;56.27
95;56.59
95.5;56.9
96;56.9
96.5;57.21
97;57.21
97.5;57.52
98;57.52
98.5;57.82
99;57.82
99.5;58.13
100;58.43
100.5;58.43
101;58.73
101.5;58.73
102;59.02
102.5;59.02
103;59.32
103.5;59.32
104;59.61
104.5;59.9
105;59.9
105.5;60.18
106;60.18
106.5;60.47
107;60.47
107.5;60.75
108;60.75
108.5;61.03
109;61.31
109.5;61.31
110;61.58
110.5;61.58
111;61.85
111.5;61.85
112;62.12
112.5;62.12
113;62.39
113.5;62.39
114;62.66
114.5;62.92
115;62.92
115.5;63.19
116;63.19
116.5;63.45
117;63.45
117.5;63.71
118;63.71
118.5;63.97
119;64.22
119.5;64.22
120;64.48
120.5;64.48
121;64.73
121.5;64.73
122;64.98
122.5;64.98
123;65.22
123.5;65.47
124;65.47
124.5;65.71
125;65.71
125.5;65.95
126;65.95
126.5;66.19
127;66.19
127.5;66.43
